VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
Bangladesh,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",564 €,13h 15m,20:05,10:20,1 escale,Swiss
Bangladesh,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",470 €,16h 35m,13:45,07:20,1 escale,Plusieurs compagnies
Bangladesh,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",561 €,13h 55m,18:40,09:35,1 escale,Lufthansa
Bangladesh,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",572 €,15h 30m,17:05,09:35,2 escales,Lufthansa
Bangladesh,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",534 €,17h 0m,15:40,09:40,1 escale,Qatar Airways
Bangladesh,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",587 €,15h 35m,17:00,09:35,2 escales,Plusieurs compagnies
Bangladesh,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",534 €,17h 15m,09:45,04:00,1 escale,Qatar Airways
Bangladesh,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",470 €,20h 15m,10:05,07:20,1 escale,Plusieurs compagnies
Bangladesh,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",587 €,16h 35m,16:00,09:35,2 escales,Plusieurs compagnies
Bangladesh,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",644 €,15h 35m,17:00,09:35,2 escales,Plusieurs compagnies
Bangladesh,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",487 €,20h 50m,13:05,10:55,2 escales,Plusieurs compagnies
Bangladesh,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",587 €,17h 35m,15:00,09:35,2 escales,Plusieurs compagnies
Bangladesh,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",499 €,20h 50m,13:05,10:55,2 escales,Plusieurs compagnies
Bangladesh,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",340 €,12h 15m,22:45,18:00,1 escale,TAP Air Portugal
Bangladesh,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",301 €,15h 30m,21:45,20:15,1 escale,Plusieurs compagnies
Bangladesh,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",349 €,14h 45m,21:45,19:30,1 escale,Plusieurs compagnies
Bangladesh,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",339 €,17h 20m,17:40,18:00,1 escale,TAP Air Portugal
Bangladesh,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",402 €,15h 45m,22:45,21:30,2 escales,TAP Air Portugal
Bangladesh,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",505 €,13h 5m,21:45,17:50,1 escale,Plusieurs compagnies
Bangladesh,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",472 €,14h 0m,23:15,20:15,1 escale,Plusieurs compagnies
Bangladesh,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",606 €,11h 0m,20:05,14:05,1 escale,Air Canada
Bangladesh,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",606 €,11h 0m,20:05,14:05,1 escale,Plusieurs compagnies
Bangladesh,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",608 €,11h 0m,20:05,14:05,1 escale,Lufthansa
Bangladesh,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",490 €,13h 50m,18:25,15:15,1 escale,Plusieurs compagnies
Bangladesh,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",399 €,17h 5m,17:40,17:45,2 escales,TAP Air Portugal
Bangladesh,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",520 €,13h 15m,23:15,19:30,1 escale,Plusieurs compagnies
Bangladesh,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",436 €,16h 20m,22:45,22:05,2 escales,TAP Air Portugal
Bangladesh,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",604 €,12h 5m,18:55,14:00,1 escale,Air France
