,Unnamed: 0,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
64,64,Bangladesh,01/02/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",240 €,8h 40m,16:05,04:15,1 escale,Air Arabia
65,65,Bangladesh,01/02/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",186 €,11h 30m,13:55,04:55,1 escale,Gulf Air
66,66,Bangladesh,01/02/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",318 €,8h 25m,18:45,06:40,1 escale,Oman Air
67,67,Bangladesh,01/02/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",284 €,9h 30m,13:40,02:40,1 escale,Etihad Airways
68,68,Bangladesh,01/02/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",266 €,10h 10m,13:25,03:05,1 escale,Flynas
69,69,Bangladesh,01/02/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",273 €,10h 10m,23:40,13:20,1 escale,Plusieurs compagnies
70,70,Bangladesh,01/02/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",318 €,8h 55m,01:20,13:45,1 escale,Qatar Airways
71,71,Bangladesh,01/02/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",337 €,8h 30m,16:15,04:15,1 escale,Plusieurs compagnies
72,72,Bangladesh,01/02/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",228 €,12h 45m,10:50,03:05,1 escale,Flynas
73,73,Bangladesh,01/02/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",327 €,8h 55m,01:20,13:45,1 escale,Plusieurs compagnies
