,Unnamed: 0,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
36,36,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",490 €,16h 35m,13:45,07:20,1 escale,Plusieurs compagnies
37,37,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",576 €,15h 30m,17:05,09:35,2 escales,Lufthansa
38,38,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",585 €,15h 35m,17:00,09:35,2 escales,Plusieurs compagnies
39,39,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",539 €,17h 0m,15:40,09:40,1 escale,Qatar Airways
40,40,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",539 €,17h 15m,09:45,04:00,1 escale,Qatar Airways
41,41,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",585 €,16h 35m,16:00,09:35,2 escales,Plusieurs compagnies
42,42,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",627 €,15h 35m,17:00,09:35,2 escales,Plusieurs compagnies
43,43,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",515 €,19h 10m,12:45,08:55,2 escales,KLM
44,44,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",490 €,20h 15m,10:05,07:20,1 escale,Plusieurs compagnies
45,45,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",23 €,2h 0m,09:50,10:50,Direct,Ryanair
46,46,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",42 €,2h 0m,17:35,18:35,Direct,Air Baltic
47,47,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",53 €,2h 0m,07:25,08:25,Direct,Air Baltic
48,48,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",30 €,5h 50m,12:15,17:05,1 escale,Ryanair
