,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies,Pays,PIB par habitant ($)
91,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",42 €,2h 0m,07:25,08:25,Direct,Air Baltic,Cambodge,4000
92,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",42 €,2h 0m,17:35,18:35,Direct,Air Baltic,Cambodge,4000
93,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",24 €,5h 50m,12:15,17:05,1 escale,Ryanair,Cambodge,4000
94,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",35 €,9h 0m,14:40,22:40,1 escale,Ryanair,Cambodge,4000
95,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",88 €,3h 40m,06:05,08:45,1 escale,LOT Polish Airlines,Cambodge,4000
96,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",88 €,4h 10m,13:50,17:00,1 escale,LOT Polish Airlines,Cambodge,4000
97,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",100 €,5h 30m,07:00,11:30,1 escale,Plusieurs compagnies,Cambodge,4000
98,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",153 €,4h 5m,17:15,20:20,1 escale,Plusieurs compagnies,Cambodge,4000
99,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",33 €,19h 45m,16:15,11:00,1 escale,Ryanair,Cambodge,4000
100,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",56 €,11h 40m,11:55,22:35,1 escale,Plusieurs compagnies,Cambodge,4000
101,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",27 €,24h 50m,20:25,20:15,1 escale,Ryanair,Cambodge,4000
102,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",133 €,5h 5m,06:05,10:10,1 escale,Lufthansa,Cambodge,4000
